Cenário de Teste;Entrada;Resultado Esperado;Resultado Obtido;Observações
"1. Divisão de 
Frações Positivas";"Numerador1: 4, Denominador1: 2, 
Numerador2: 2, Denominador2: 1";"2/1 (Fração resultante)
2 (Fração simplificada)";"2/1 (Fração resultante)
2 (Fração simplificada)";
"2. Divisão de 
Frações Negativas";"Numerador1: -4, Denominador1: 2, 
Numerador2: -2, Denominador2: 1";"2/1 (Fração resultante)
2 (Fração simplificada)";"2/1 (Fração resultante)
2 (Fração simplificada)";
"3. Divisão de
Frações com Denominadores Iguais
";"Numerador1: 4, Denominador1: 2, 
Numerador2: 4, Denominador2: 2";"1/1 (Fração resultante)
1 (Fração simplificada)";"1/1 (Fração resultante)
1 (Fração simplificada)";
"4. Divisão de Frações 
com Denominadores Diferentes";"Numerador1: 4, Denominador1: 3, 
Numerador2: 2, Denominador2: 5";10/15 (Fração resultante);2/3 (Fração simplificada);"A simplificação adicional da 
fração resultante não foi realizada."
"5. Divisão por Fração com 
Denominador Zero (Erro Esperado)";"Numerador1: 4, Denominador1: 2, 
Numerador2: 0, Denominador2: 1";"Exceção/Erro indicando que 
a divisão por zero não é permitida";"Exceção/Erro indicando que 
a divisão por zero não é permitida";
Cenário de Teste;Entrada;Resultado Esperado;Resultado Obtido;Observações
"1. Multiplicação 
de Frações Positivas";"Numerador1: 4, Denominador1: 2, 
Numerador2: 3, Denominador2: 1";"12/2 (Fração resultante)
6/1 (Fração simplificada)";"12/2 (Fração resultante)
6/1 (Fração simplificada)";
"2. Multiplicação 
de Frações Negativas";"Numerador1: -4, Denominador1: 2, 
Numerador2: -3, Denominador2: 1";"12/2 (Fração resultante)
6/1 (Fração simplificada)";"12/2 (Fração resultante)
6/1 (Fração simplificada)";
"3. Multiplicação de Frações 
com Denominadores Iguais";"Numerador1: 4, Denominador1: 2, 
Numerador2: 2, Denominador2: 2";"8/4 (Fração resultante)
2/1 (Fração simplificada)";"8/4 (Fração resultante)
2/1 (Fração simplificada)";
"4. Multiplicação de Frações 
com Denominadores Diferentes";"Numerador1: 4, Denominador1: 3, 
Numerador2: 2, Denominador2: 5";8/15 (Fração resultante);8/15 (Fração resultante);
5. Multiplicação por Fração com Denominador Zero (Erro Esperado);"Numerador1: 4, Denominador1: 2, 
Numerador2: 3, Denominador2: 0";"Exceção/Erro indicando que 
a divisão por zero não é permitida";"Exceção/Erro indicando que 
a divisão por zero não é permitida";
Cenário de Teste;Entrada;Resultado Esperado;Resultado Obtido;Observações
1. Soma de Frações Positivas;"Numerador1: 2, Denominador1: 5, 
Numerador2: 3, Denominador2: 7";"19/35 (Fração resultante)
19/35 (Fração simplificada)";"19/35 (Fração resultante)
19/35 (Fração simplificada)";
2. Soma de Frações Negativas;"Numerador1: -2, Denominador1: 5, 
Numerador2: -3, Denominador2: 7";"-19/35 (Fração resultante)
-19/35 (Fração resultante)";"-19/35 (Fração resultante)
-19/35 (Fração resultante)";
"3. Soma de Frações com 
Denominadores Iguais";"Numerador1: 2, Denominador1: 5, 
Numerador2: 2, Denominador2: 5";"4/5 (Fração resultante)
4/5 (Fração simplificada)";"4/5 (Fração resultante)
4/5 (Fração simplificada)";
"4. Soma de Frações com 
Denominadores Diferentes";"Numerador1: 2, Denominador1: 3, 
Numerador2: 3, Denominador2: 5";"13/15 (Fração resultante)
13/15 (Fração simplificada)";"13/15 (Fração resultante)
13/15 (Fração simplificada)";
"5. Soma de Frações com 
Denominador Múltiplo do Outro";"Numerador1: 2, Denominador1: 5, 
Numerador2: 6, Denominador2: 10";14/10 (Fração resultante);7/5 (Fração resultante);"simplificação adicional 
não foi realizada."
Cenário de Teste;Entrada;Resultado Esperado;Resultado Obtido;Observações
"1. Subtração de Frações Positivas
 com Denominadores Iguais";"Numerador1: 8, Denominador1: 3, 
Numerador2: 4, Denominador2: 3";"4/3 (Fração resultante)
4/3 (Fração simplificada)";"4/3 (Fração resultante)
4/3 (Fração simplificada)";
"2. Subtração de Frações Positivas 
com Denominadores Diferentes";"Numerador1: 8, Denominador1: 5, 
Numerador2: 3, Denominador2: 4";"1/20 (Fração resultante)
1/20 (Fração simplificada)";"1/20 (Fração resultante)
1/20 (Fração simplificada)";
"3. Subtração de Frações Negativas 
com Denominadores Iguais";Numerador1: -8, Denominador1: 3,  Numerador2: -4, Denominador2: 3;" -4/3 (Fração resultante)
 -4/3 (Fração simplificada)";" -4/3 (Fração resultante)
 -4/3 (Fração simplificada)";
"4. Subtração de Frações Negativas 
com Denominadores Diferentes";"Numerador1: -8, Denominador1: 5, 
Numerador2: -3, Denominador2: 4";" -1/20 (Fração resultante)
 -1/20 (Fração simplificada)";"-1/20 (Fração resultante)
-1/20 (Fração simplificada)";
"5. Subtração de Fração Positiva 
por Fração Negativa";"Numerador1: 8, Denominador1: 3, 
Numerador2: -4, Denominador2: 3";"12/3 (Fração resultante)
4 (Número inteiro)";"12/3 (Fração resultante)
4 (Número inteiro)";"A simplificação para 
um número inteiro foi realizada."
"6. Subtração de Fração Negativa 
por Fração Positiva";"Numerador1: -8, Denominador1: 3, 
Numerador2: 4, Denominador2: 3";" -12/3 (Fração resultante)
 -4 (Número inteiro)";" -12/3 (Fração resultante)
 -4 (Número inteiro)";"A simplificação para 
um número inteiro foi realizada."
